,State,City,M,n,M_social,n_social,M_race,n_race,M_gender,n_gender,M_sexual_orientation,n_sexual_orientation,M_disabilities,n_disabilities
0,AK,,5.871036665790326,15,4.398046809227143,1.0,7.776604902830697,4.0,5.5158064468630545,4.0,5.360377343943779,4.0,6.304347826086957,2.0
56,AK,Anchorage,5.780633949726538,15,5.6045283056941395,2.0,7.776604902830697,4.0,5.5158064468630545,4.0,5.360377343943779,4.0,4.645852749301024,1.0
229,AK,Juneau,5.602628357927843,15,5.6045283056941395,2.0,7.776604902830697,4.0,5.5158064468630545,4.0,5.360377343943779,4.0,3.7558247903075452,1.0
1,AL,,3.8496597573515894,16,5.475669304596734,1.0,5.866803689643891,4.0,1.6663434231148089,5.0,0.44533862494820825,4.0,5.794143744454303,2.0
57,AL,Birmingham,3.3793437447051837,12,7.1998652971880786,1.0,4.444444444444445,1.0,1.6663434231148089,5.0,0.44533862494820825,4.0,3.14072693383038,1.0
58,AL,Huntsville,3.8792251892829954,12,9.326485940394004,1.0,4.444444444444445,1.0,1.6663434231148089,5.0,0.44533862494820825,4.0,3.5135135135135114,1.0
59,AL,Mobile,2.8965476193882584,12,6.496043104899814,1.0,4.444444444444445,1.0,1.6663434231148089,5.0,0.44533862494820825,4.0,1.4305684995340164,1.0
60,AL,Montgomery,3.312139846483641,12,7.413706011112983,1.0,4.444444444444445,1.0,1.6663434231148089,5.0,0.44533862494820825,4.0,2.590866728797759,1.0
2,AR,,3.7489158421668236,15,3.8962788348206767,1.0,6.569916358722239,4.0,2.5720514930393836,4.0,0.4223928614301692,4.0,5.28393966282165,2.0
61,AR,Fayetteville,4.372589861361975,15,7.014648930796431,1.0,6.569916358722239,4.0,2.5720514930393836,4.0,0.4223928614301692,4.0,5.28393966282165,2.0
230,AR,Fort Smith,4.155503699533898,14,7.014648930796431,1.0,6.569916358722239,4.0,2.5720514930393836,4.0,0.4223928614301692,4.0,4.1985088536812665,1.0
62,AR,Little Rock,4.541428667996271,14,8.343155413369255,1.0,6.569916358722239,4.0,2.5720514930393836,4.0,0.4223928614301692,4.0,4.7996272134203135,1.0
3,AS,,1.6915422889999998,1,,0.0,,0.0,,0.0,1.6915422889999998,1.0,,0.0
4,AZ,,4.500438726195865,15,4.989055396531403,1.0,6.946370247602307,4.0,5.41144281035154,4.0,2.080791015003395,4.0,3.074534161490684,2.0
63,AZ,Chandler,5.179348491553722,14,3.359349941195338,1.0,6.946370247602307,4.0,5.41144281035154,4.0,2.080791015003395,4.0,8.098788443616028,1.0
231,AZ,Gilbert,5.041417457070963,14,3.359349941195338,1.0,6.946370247602307,4.0,5.41144281035154,4.0,2.080791015003395,4.0,7.409133271202236,1.0
232,AZ,Glendale,4.860615965924644,14,3.359349941195338,1.0,6.946370247602307,4.0,5.41144281035154,4.0,2.080791015003395,4.0,6.505125815470643,1.0
64,AZ,Mesa,5.028038512218805,14,3.27381588795039,1.0,6.946370247602307,4.0,5.41144281035154,4.0,2.080791015003395,4.0,7.42777260018639,1.0
233,AZ,Peoria,5.119371224241172,14,3.27381588795039,1.0,6.946370247602307,4.0,5.41144281035154,4.0,2.080791015003395,4.0,7.884436160298231,1.0
65,AZ,Phoenix,5.872369828405525,12,5.578479353122937,2.0,9.944444444444443,1.0,5.41144281035154,4.0,2.080791015003395,4.0,6.346691519105309,1.0
234,AZ,Scottsdale,6.484671785535068,12,5.578479353122937,2.0,9.944444444444443,1.0,5.41144281035154,4.0,2.080791015003395,4.0,9.408201304753025,1.0
235,AZ,Tempe,6.45391689271121,12,5.578479353122937,2.0,9.944444444444443,1.0,5.41144281035154,4.0,2.080791015003395,4.0,9.254426840633736,1.0
66,AZ,Tucson,6.344512537176415,12,5.772370902569188,2.0,9.944444444444443,1.0,5.41144281035154,4.0,2.080791015003395,4.0,8.51351351351351,1.0
5,CA,,7.346112581570489,16,3.3473648762417922,1.0,6.989127060174595,4.0,8.56888714731756,5.0,9.599806716753815,4.0,8.225377107364686,2.0
67,CA,Anaheim,7.419632802211749,15,5.206885491286217,1.0,6.989127060174595,4.0,8.56888714731756,5.0,9.599806716753815,4.0,6.733457595526558,1.0
68,CA,Bakersfield,7.014455802985424,16,3.2415783143530996,2.0,6.989127060174595,4.0,8.56888714731756,5.0,9.599806716753815,4.0,6.67287977632805,1.0
69,CA,Chula Vista,7.717453228329569,15,7.362343633058911,1.0,6.989127060174595,4.0,8.56888714731756,5.0,9.599806716753815,4.0,6.0671015843429625,1.0
236,CA,Fontana,7.392196937556037,15,7.362343633058911,1.0,6.989127060174595,4.0,8.56888714731756,5.0,9.599806716753815,4.0,4.440820130475304,1.0
237,CA,Fremont,8.18436841938269,15,7.362343633058911,1.0,6.989127060174595,4.0,8.56888714731756,5.0,9.599806716753815,4.0,8.401677539608574,1.0
70,CA,Fresno,6.895195563924624,16,3.083301350176777,2.0,6.989127060174595,4.0,8.56888714731756,5.0,9.599806716753815,4.0,6.23485554520037,1.0
238,CA,Garden Grove,7.0592216589852015,16,3.083301350176777,2.0,6.989127060174595,4.0,8.56888714731756,5.0,9.599806716753815,4.0,7.0549860205032635,1.0
239,CA,Glendale,7.175717465136181,16,3.083301350176777,2.0,6.989127060174595,4.0,8.56888714731756,5.0,9.599806716753815,4.0,7.637465051258157,1.0
240,CA,Huntington Beach,7.569007306701884,16,3.083301350176777,2.0,6.989127060174595,4.0,8.56888714731756,5.0,9.599806716753815,4.0,9.603914259086674,1.0
241,CA,Irvine,7.180377297382219,16,3.083301350176777,2.0,6.989127060174595,4.0,8.56888714731756,5.0,9.599806716753815,4.0,7.660764212488347,1.0
71,CA,Long Beach,7.592359874746002,15,6.177696995616379,1.0,6.989127060174595,4.0,8.56888714731756,5.0,9.599806716753815,4.0,6.6262814538676595,1.0
72,CA,Los Angeles,7.5208264176522786,13,5.680131193020918,2.0,7.222222222222223,1.0,8.56888714731756,5.0,9.599806716753815,4.0,6.533084808946875,1.0
73,CA,Modesto,7.2437088697176195,12,5.086714935174271,1.0,7.222222222222223,1.0,8.56888714731756,5.0,9.599806716753815,4.0,5.740913327120225,1.0
242,CA,Moreno Valley,6.980894331041012,12,5.086714935174271,1.0,7.222222222222223,1.0,8.56888714731756,5.0,9.599806716753815,4.0,4.426840633737187,1.0
74,CA,Oakland,7.967752815761832,12,6.1114081043515425,1.0,7.222222222222223,1.0,8.56888714731756,5.0,9.599806716753815,4.0,8.336439888164026,1.0
243,CA,Oceanside,7.842869311567983,12,6.1114081043515425,1.0,7.222222222222223,1.0,8.56888714731756,5.0,9.599806716753815,4.0,7.712022367194779,1.0
244,CA,Ontario,7.347995127038627,12,6.1114081043515425,1.0,7.222222222222223,1.0,8.56888714731756,5.0,9.599806716753815,4.0,5.2376514445479945,1.0
75,CA,Oxnard,8.041126919360877,12,8.691698939215357,1.0,7.222222222222223,1.0,8.56888714731756,5.0,9.599806716753815,4.0,6.123019571295433,1.0
245,CA,Rancho Cucamonga,8.182785819640468,12,8.691698939215357,1.0,7.222222222222223,1.0,8.56888714731756,5.0,9.599806716753815,4.0,6.831314072693379,1.0
76,CA,Riverside,7.19180662481166,13,4.894098191332068,2.0,5.333333333333333,1.0,8.56888714731756,5.0,9.599806716753815,4.0,7.5629077353215255,1.0
77,CA,Sacramento,7.599845464033703,13,7.171943831990273,2.0,5.333333333333333,1.0,8.56888714731756,5.0,9.599806716753815,4.0,7.325256290773533,1.0
78,CA,Salinas,7.482850198224973,12,6.5869675029466235,1.0,5.333333333333333,1.0,8.56888714731756,5.0,9.599806716753815,4.0,7.325256290773533,1.0
79,CA,San Benandino,6.96220640361234,12,3.983748529883459,1.0,5.333333333333333,1.0,8.56888714731756,5.0,9.599806716753815,4.0,7.325256290773533,1.0
246,CA,San Bernardino,6.381591305755862,12,3.983748529883459,1.0,5.333333333333333,1.0,8.56888714731756,5.0,9.599806716753815,4.0,4.422180801491142,1.0
80,CA,San Diego,7.403692733762654,13,5.906930413626641,2.0,5.333333333333333,1.0,8.56888714731756,5.0,9.599806716753815,4.0,7.609506057781921,1.0
81,CA,San Francisco,8.222493023898805,13,8.297949571669937,2.0,5.433333333333334,1.0,8.56888714731756,5.0,9.599806716753815,4.0,9.212488350419383,1.0
82,CA,San Jose,7.900017545312643,13,7.948386717415735,2.0,5.433333333333334,1.0,8.56888714731756,5.0,9.599806716753815,4.0,7.949673811742776,1.0
83,CA,Santa Ana,7.359894351591214,12,6.258954346199081,1.0,5.433333333333334,1.0,8.56888714731756,5.0,9.599806716753815,4.0,6.938490214352283,1.0
84,CA,Santa Barbara,7.692208550544696,12,7.920525340966492,1.0,5.433333333333334,1.0,8.56888714731756,5.0,9.599806716753815,4.0,6.938490214352283,1.0
247,CA,Santa Clarita,7.605535670768369,12,7.920525340966492,1.0,5.433333333333334,1.0,8.56888714731756,5.0,9.599806716753815,4.0,6.505125815470643,1.0
85,CA,Santa Rosa,7.6379964749021,12,8.511533928270753,1.0,5.433333333333334,1.0,8.56888714731756,5.0,9.599806716753815,4.0,6.076421248835039,1.0
86,CA,Stockton,6.810447476457358,13,4.7186165222539405,2.0,5.433333333333334,1.0,8.56888714731756,5.0,9.599806716753815,4.0,5.731593662628144,1.0
87,CA,Vallejo,7.484504943180168,12,8.088903855867992,1.0,5.433333333333334,1.0,8.56888714731756,5.0,9.599806716753815,4.0,5.731593662628144,1.0
88,CA,Visalia,6.41496461652585,12,2.741202222596397,1.0,5.433333333333334,1.0,8.56888714731756,5.0,9.599806716753815,4.0,5.731593662628144,1.0
6,CO,,6.905457940473964,16,8.737161138238761,1.0,5.73187324126875,4.0,6.257257751267806,5.0,9.364440340006212,4.0,4.436557231588287,2.0
89,CO,Aurora,6.4609693431250035,15,4.231797284293809,1.0,5.73187324126875,4.0,6.257257751267806,5.0,9.364440340006212,4.0,6.719478098788445,1.0
90,CO,Colorado Springs,6.899927094974781,16,5.322205801231425,2.0,5.73187324126875,4.0,6.257257751267806,5.0,9.364440340006212,4.0,7.823858341099718,1.0
91,CO,Denve,7.649932811307044,15,9.072234382892741,1.0,5.73187324126875,4.0,6.257257751267806,5.0,9.364440340006212,4.0,7.823858341099718,1.0
92,CO,Denver,7.181794224606433,15,5.3009729498556615,1.0,5.73187324126875,4.0,6.257257751267806,5.0,9.364440340006212,4.0,9.254426840633736,1.0
7,CT,,7.7177815400463885,16,7.518100690351911,1.0,6.037875118568944,4.0,9.061375204267838,5.0,9.338903625818759,4.0,6.63265306122449,2.0
93,CT,Bridgeport,7.2589732058796255,15,8.003030813268227,1.0,6.037875118568944,4.0,9.061375204267838,5.0,9.338903625818759,4.0,3.853681267474367,1.0
94,CT,Hartford,7.298037021336773,15,8.198349890553965,1.0,6.037875118568944,4.0,9.061375204267838,5.0,9.338903625818759,4.0,3.853681267474367,1.0
95,CT,New Haven,7.621006157539301,15,8.331368917326149,1.0,6.037875118568944,4.0,9.061375204267838,5.0,9.338903625818759,4.0,5.335507921714816,1.0
8,DC,,6.670443965138778,13,,0.0,5.130434782608696,4.0,7.643062212783393,4.0,9.125670169510851,4.0,4.782608695652174,1.0
96,DC,Washington,7.42196745264142,15,7.899393304268741,2.0,5.130434782608696,4.0,7.643062212783393,4.0,9.125670169510851,4.0,7.311276794035415,1.0
9,DE,,6.042395894502365,15,6.51456474153898,1.0,7.935104141859529,4.0,6.726397609716231,4.0,7.0305891107191805,4.0,2.0053238686779062,2.0
248,DE,Dover,6.496876321139571,14,6.51456474153898,1.0,7.935104141859529,4.0,6.726397609716231,4.0,7.0305891107191805,4.0,4.277726001863934,1.0
249,DE,Wilmington,7.103586479573866,14,6.51456474153898,1.0,7.935104141859529,4.0,6.726397609716231,4.0,7.0305891107191805,4.0,7.311276794035415,1.0
10,FL,,5.646714744816582,16,5.354436773867653,1.0,7.799498612266994,4.0,4.4645506597100155,5.0,3.538778893854927,4.0,7.076308784383318,2.0
97,FL,Cape Coral,5.728804204023534,15,7.738676544872875,1.0,7.799498612266994,4.0,4.4645506597100155,5.0,3.538778893854927,4.0,5.10251630941286,1.0
98,FL,Deltona,5.623736010725,15,7.2133355783802,1.0,7.799498612266994,4.0,4.4645506597100155,5.0,3.538778893854927,4.0,5.10251630941286,1.0
250,FL,Fort Lauderdale,6.109290530762278,15,7.2133355783802,1.0,7.799498612266994,4.0,4.4645506597100155,5.0,3.538778893854927,4.0,7.530288909599253,1.0
251,FL,Hialeah,5.6330556752170775,15,7.2133355783802,1.0,7.799498612266994,4.0,4.4645506597100155,5.0,3.538778893854927,4.0,5.149114631873251,1.0
99,FL,Jacksonville,4.5275183502624134,13,4.8585554565231375,2.0,3.6666666666666665,1.0,4.4645506597100155,5.0,3.538778893854927,4.0,6.109040074557316,1.0
100,FL,Lakeland,4.964798671653526,12,7.044957063478701,1.0,3.6666666666666665,1.0,4.4645506597100155,5.0,3.538778893854927,4.0,6.109040074557316,1.0
101,FL,Miami,5.241757485886457,13,5.000269929300086,2.0,5.833333333333334,1.0,4.4645506597100155,5.0,3.538778893854927,4.0,7.371854613233923,1.0
102,FL,Naples,5.185296697534438,12,4.717965987539991,1.0,5.833333333333334,1.0,4.4645506597100155,5.0,3.538778893854927,4.0,7.371854613233923,1.0
103,FL,Ocala,5.715015505414553,12,7.366560026940562,1.0,5.833333333333334,1.0,4.4645506597100155,5.0,3.538778893854927,4.0,7.371854613233923,1.0
104,FL,Orlando,5.217282077172608,13,4.1073119599775,2.0,7.0,1.0,4.4645506597100155,5.0,3.538778893854927,4.0,6.975768872320596,1.0
105,FL,Palm Bay,6.225083871066988,12,9.146320929449402,1.0,7.0,1.0,4.4645506597100155,5.0,3.538778893854927,4.0,6.975768872320596,1.0
252,FL,Pembroke Pines,5.870004653918805,12,9.146320929449402,1.0,7.0,1.0,4.4645506597100155,5.0,3.538778893854927,4.0,5.200372786579682,1.0
106,FL,Pensacola,5.572311439572956,12,7.657854857720155,1.0,7.0,1.0,4.4645506597100155,5.0,3.538778893854927,4.0,5.200372786579682,1.0
107,FL,Port St. Lucie,5.411998302612178,12,7.336251894258293,1.0,7.0,1.0,4.4645506597100155,5.0,3.538778893854927,4.0,4.720410065237647,1.0
108,FL,Sarasota,5.6214611751496415,12,8.383566256945615,1.0,7.0,1.0,4.4645506597100155,5.0,3.538778893854927,4.0,4.720410065237647,1.0
109,FL,St. Petersburg,5.181371843661426,12,3.1262696461028545,1.0,7.0,1.0,4.4645506597100155,5.0,3.538778893854927,4.0,7.777260018639327,1.0
110,FL,Tallahassee,4.825682815256807,12,6.888365044620307,1.0,7.0,1.0,4.4645506597100155,5.0,3.538778893854927,4.0,2.2367194780987862,1.0
111,FL,Tampa,4.8510993951823895,12,2.938094728963968,1.0,7.0,1.0,4.4645506597100155,5.0,3.538778893854927,4.0,6.314072693383036,1.0
227,FL,Tampa Bay,4.339988284071278,12,2.938094728963968,1.0,4.444444444444445,1.0,4.4645506597100155,5.0,3.538778893854927,4.0,6.314072693383036,1.0
112,FL,Tampa-St. Petersburg,5.429756103727213,12,8.386933827243643,1.0,4.444444444444445,1.0,4.4645506597100155,5.0,3.538778893854927,4.0,6.314072693383036,1.0
11,GA,,5.576139147146788,15,6.974238087220072,1.0,7.500415069564504,4.0,3.7174225868398465,4.0,2.625620879420966,4.0,7.062999112688553,2.0
113,GA,Atlanta,5.763829257686167,12,9.202260013844455,2.0,8.166666666666666,1.0,3.7174225868398465,4.0,2.625620879420966,4.0,5.107176141658901,1.0
114,GA,Augusta,4.023122478016019,11,7.624179154739856,1.0,1.1111111111111112,1.0,3.7174225868398465,4.0,2.625620879420966,4.0,5.0372786579683115,1.0
253,GA,Columbus,3.7891988992648526,11,7.624179154739856,1.0,1.1111111111111112,1.0,3.7174225868398465,4.0,2.625620879420966,4.0,3.867660764212485,1.0
115,GA,Savannah,3.8888789800865395,11,8.12257955884829,1.0,1.1111111111111112,1.0,3.7174225868398465,4.0,2.625620879420966,4.0,3.867660764212485,1.0
12,GU,,2.8358208959999995,1,,0.0,,0.0,,0.0,2.8358208959999995,1.0,,0.0
13,HI,,8.71887911024549,16,7.184711230846944,1.0,9.765746264273789,4.0,8.484267612874472,5.0,8.465792892211834,4.0,9.693877551020408,2.0
116,HI,Honolulu,7.9348534390193795,16,7.478497704394772,2.0,9.765746264273789,4.0,8.484267612874472,5.0,8.465792892211834,4.0,5.479962721342028,1.0
254,HI,Pearl City,7.564862758683873,16,7.478497704394772,2.0,9.765746264273789,4.0,8.484267612874472,5.0,8.465792892211834,4.0,3.6300093196644916,1.0
14,IA,,4.743463896396747,15,3.901330190267722,1.0,3.9731457721597696,4.0,5.965760720130584,4.0,4.996869844678546,4.0,4.880212954747117,2.0
255,IA,Cedar Rapids,5.089881696873233,14,3.901330190267722,1.0,3.9731457721597696,4.0,5.965760720130584,4.0,4.996869844678546,4.0,6.612301957129541,1.0
117,IA,Davenport,5.845227714721355,14,7.678060279508335,1.0,3.9731457721597696,4.0,5.965760720130584,4.0,4.996869844678546,4.0,6.612301957129541,1.0
118,IA,Des Moines,5.7772978901159036,14,6.863108267385081,1.0,3.9731457721597696,4.0,5.965760720130584,4.0,4.996869844678546,4.0,7.087604846225536,1.0
15,ID,,3.8140267090684516,15,5.842734467082002,1.0,5.313674901673568,4.0,1.9357333717564422,4.0,1.7765711065161427,4.0,4.201419698314108,2.0
256,ID,Boise,4.0166132260691905,14,5.842734467082002,1.0,5.313674901673568,4.0,1.9357333717564422,4.0,1.7765711065161427,4.0,5.2143522833178,1.0
119,ID,Boise City,4.40186326816382,14,7.768984677555144,1.0,5.313674901673568,4.0,1.9357333717564422,4.0,1.7765711065161427,4.0,5.2143522833178,1.0
257,ID,Nampa,4.081266809636326,14,7.768984677555144,1.0,5.313674901673568,4.0,1.9357333717564422,4.0,1.7765711065161427,4.0,3.611369990680333,1.0
16,IL,,6.661877060209479,15,5.817477689846776,1.0,5.39125171439341,4.0,7.677432380628863,4.0,8.90414632008251,4.0,5.5190771960958305,2.0
258,IL,Aurora,6.390307660132903,14,5.817477689846776,1.0,5.39125171439341,4.0,7.677432380628863,4.0,8.90414632008251,4.0,4.161230195712954,1.0
120,IL,Chicago,7.106833138564099,15,6.124243013037239,2.0,5.39125171439341,4.0,7.677432380628863,4.0,8.90414632008251,4.0,7.437092264678472,1.0
121,IL,Peoria,7.11552553612503,14,6.167705000841893,1.0,5.39125171439341,4.0,7.677432380628863,4.0,8.90414632008251,4.0,7.437092264678472,1.0
122,IL,Rockford,7.279189452609286,14,6.986024583263175,1.0,5.39125171439341,4.0,7.677432380628863,4.0,8.90414632008251,4.0,7.437092264678472,1.0
17,IN,,4.930175203504795,15,7.100521973396195,1.0,6.0046409812459896,4.0,3.8015394622780767,4.0,2.433614594392535,4.0,5.3105590062111805,2.0
123,IN,Evansville,4.889427602898633,15,6.896783970365381,1.0,6.0046409812459896,4.0,3.8015394622780767,4.0,2.433614594392535,4.0,5.3105590062111805,2.0
124,IN,Fort Wayne,3.9294798817066265,15,3.819533541166392,2.0,6.0046409812459896,4.0,3.8015394622780767,4.0,2.433614594392535,4.0,3.588070829450138,1.0
125,IN,Indianapolis,4.299922533633272,12,4.294799297008848,2.0,4.222222222222222,1.0,3.8015394622780767,4.0,2.433614594392535,4.0,6.7474370922646765,1.0
126,IN,South Bend,5.048640734511009,11,8.03839030139754,1.0,4.222222222222222,1.0,3.8015394622780767,4.0,2.433614594392535,4.0,6.7474370922646765,1.0
18,KS,,5.058850910596601,15,8.454285233204242,1.0,5.124496837562209,4.0,4.629409374344286,4.0,3.7009699401704053,4.0,3.3850931677018634,2.0
259,KS,Overland Park,6.25228894061634,14,8.454285233204242,1.0,5.124496837562209,4.0,4.629409374344286,4.0,3.7009699401704053,4.0,9.352283317800559,1.0
127,KS,Wichita,4.499922989427167,15,4.123955943241601,2.0,5.124496837562209,4.0,4.629409374344286,4.0,3.7009699401704053,4.0,4.92078285181733,1.0
19,KY,,4.653210518041119,16,5.504293652129988,1.0,7.034657077654972,4.0,2.5639908389715664,5.0,3.1941669220701843,4.0,4.968944099378882,2.0
128,KY,Lexington,4.643086408031445,17,5.453673102081624,2.0,7.034657077654972,4.0,2.5639908389715664,5.0,3.1941669220701843,4.0,4.968944099378882,2.0
260,KY,Lexington-Fayette,5.054702993561075,16,5.453673102081624,2.0,7.034657077654972,4.0,2.5639908389715664,5.0,3.1941669220701843,4.0,7.027027027027027,1.0
129,KY,Louisville,4.847018049963273,16,4.377969726124306,2.0,7.034657077654972,4.0,2.5639908389715664,5.0,3.1941669220701843,4.0,7.064305684995337,1.0
20,LA,,3.1228459968064755,15,3.3389459504967163,1.0,5.44925651650774,4.0,1.946520680175372,4.0,0.7712548404017957,4.0,4.108251996450754,2.0
130,LA,Baton Rouge,3.3953347422691857,11,6.414847243269536,1.0,3.333333333333333,1.0,1.946520680175372,4.0,0.7712548404017957,4.0,4.51071761416589,1.0
131,LA,New Orleans,2.8394111678985614,12,3.8613347871770043,2.0,2.2777777777777777,1.0,1.946520680175372,4.0,0.7712548404017957,4.0,5.340167753960857,1.0
132,LA,Shreveport,2.984026110274962,11,7.002862434753326,1.0,2.2777777777777777,1.0,1.946520680175372,4.0,0.7712548404017957,4.0,2.9217148182665413,1.0
21,MA,,7.540383449790676,16,7.684795420104394,1.0,6.60452897097147,4.0,8.537994946792649,5.0,9.18693154018868,4.0,5.687666370896185,2.0
133,MA,Boston,8.096793302236794,13,7.46754162925597,2.0,8.88888888888889,1.0,8.537994946792649,5.0,9.18693154018868,4.0,6.402609506057781,1.0
134,MA,Springfield,8.15741866892643,12,7.770668462704159,1.0,8.88888888888889,1.0,8.537994946792649,5.0,9.18693154018868,4.0,6.402609506057781,1.0
135,MA,Worcester,8.344843414479504,12,8.759050345175956,1.0,8.88888888888889,1.0,8.537994946792649,5.0,9.18693154018868,4.0,6.35135135135135,1.0
22,MD,,7.542188246072252,16,8.157939046977607,1.0,8.47644235659325,4.0,8.749305418052725,5.0,7.597884399864558,4.0,4.729370008873115,2.0
136,MD,Baltimore,7.445263500996463,12,4.948144980220251,1.0,8.722222222222221,1.0,8.749305418052725,5.0,7.597884399864558,4.0,7.208760484622553,1.0
137,MD,Baltimore-Towson,8.237079192610265,12,8.907223438289275,1.0,8.722222222222221,1.0,8.749305418052725,5.0,7.597884399864558,4.0,7.208760484622553,1.0
261,MD,Columbia,8.734749276487246,12,8.907223438289275,1.0,8.722222222222221,1.0,8.749305418052725,5.0,7.597884399864558,4.0,9.697110904007454,1.0
23,ME,,6.602895129750789,16,7.954201043946791,1.0,5.301153300002072,4.0,8.614762232821445,5.0,9.405228637201029,4.0,1.7391304347826086,2.0
262,ME,Lewiston,7.628787588926606,15,7.954201043946791,1.0,5.301153300002072,4.0,8.614762232821445,5.0,9.405228637201029,4.0,6.868592730661693,1.0
263,ME,Portland,7.984798772523996,15,7.954201043946791,1.0,5.301153300002072,4.0,8.614762232821445,5.0,9.405228637201029,4.0,8.648648648648646,1.0
24,MI,,5.610163932077655,15,5.477353089745749,1.0,5.688638709451148,4.0,5.64198415337632,4.0,4.996171125738751,4.0,6.246672582076308,2.0
138,MI,Ann Arbor,6.514693314128506,15,10.0,1.0,5.688638709451148,4.0,5.64198415337632,4.0,4.996171125738751,4.0,6.246672582076308,2.0
139,MI,Detroit,4.499121411385741,12,5.61482984553653,2.0,1.6666666666666665,1.0,5.64198415337632,4.0,4.996171125738751,4.0,4.575955265610439,1.0
140,MI,Flint,4.745409525457422,11,6.846270415894933,1.0,1.6666666666666665,1.0,5.64198415337632,4.0,4.996171125738751,4.0,4.575955265610439,1.0
141,MI,Grand Rapids,5.354382358454965,11,7.132513891227479,1.0,1.6666666666666665,1.0,5.64198415337632,4.0,4.996171125738751,4.0,7.334575955265605,1.0
