Rank,City,State,Equality,Neighborliness,Labor and pay,Sustainability,Public transit,Healthcare cost,Score,Comp Score
1,San Francisco,CA,70.06,51.38,66.94,100,96,64.04,74.74,7.47
2,Seattle,WA,73.9,58.97,79.27,90,85,49.54,72.78,7.28
3,Chula Vista,CA,75.02,77.17,75.48,,57,,71.17,7.12
4,Portland,OR,75.59,55.32,70.05,90,89,46.97,71.15,7.12
5,Washington,DC,69.2,71.33,66.93,93,93,27.63,70.1,7.01
6,New York,NY,60.36,89,50.99,68,96,53.26,69.52,6.95
7,Boston,MA,67.39,82.22,53.57,83,93,38.42,69.52,6.95
8,Jersey City,NJ,60.36,79.18,59.27,,93,53.26,69.02,6.90
9,San Jose,CA,75.97,58.31,80.36,90,7,100,68.61,6.86
10,Madison,WI,78.96,72.35,34.79,90,63,,67.82,6.78
11,Newark,NJ,47.36,82.69,62.86,,87,53.26,66.63,6.66
12,Sacramento,CA,73.69,56.63,79.11,60,63,,66.49,6.65
13,Santa Ana,CA,67.65,71.22,79.12,,66,46.06,66.01,6.60
14,Honolulu,HI,68.68,54.51,56.92,70,79,,65.82,6.58
15,Los Angeles,CA,68.52,60.29,77.62,65,77,46.06,65.75,6.58
16,Long Beach,CA,68.52,55.95,77.62,,80,46.06,65.63,6.56
17,Oakland,CA,70.06,35.74,73.79,,83,64.04,65.32,6.53
18,Minneapolis,MN,73.69,61.62,54.84,70,83,37.72,63.48,6.35
19,Buffalo,NY,60.81,74.01,57.4,40,78,,62.04,6.20
20,St. Paul,MN,73.69,67.8,52.4,,77,37.72,61.72,6.17
21,Denver,CO,68.74,66.22,67.27,60,78,28.97,61.53,6.15
22,Chicago,IL,59.68,73.29,66.73,58,91,20.17,61.4,6.14
23,Anaheim,CA,64.19,67.07,79.12,,49,46.06,61.09,6.11
24,Baltimore,MD,68.26,68.79,63.36,50,84,24.85,59.88,5.99
25,San Diego,CA,75.02,70.12,75.48,83,6,43.93,58.84,5.88
26,Atlanta,GA,72.22,73.81,100,95,80,80,83.505,8.35
27,Anchorage,AK,75.5,70.85,47.63,,35,55.99,57,5.70
28,Austin,TX,77.02,54.38,44.37,80,52,32.16,56.65,5.67
29,Aurora,CO,60.07,66.49,63.11,,64,28.97,56.53,5.65
30,Detroit,MI,58.69,70.44,42.99,40,69,,56.23,5.62
31,Stockton,CA,69.71,55.66,73.74,40,42,,56.22,5.62
32,Phoenix,AZ,79.62,56.26,60.53,50,61,28.92,56.05,5.61
33,Raleigh,NC,71.18,70.36,35.94,73,49,33.59,55.43,5.54
34,Chandler,AZ,68.29,63.5,60.55,,41,28.92,52.45,5.25
35,Pittsburgh,PA,64.47,71.81,38.53,53,83,21.09,55.23,5.52
36,Riverside,CA,79.09,56.48,79.67,40,52,23.91,55.19,5.52
37,Lincoln,NE,73.29,73.47,42.87,,38,47.96,55.12,5.51
38,Tucson,AZ,83.89,60.02,55.13,43,58,29.64,54.86,5.49
39,Columbus,OH,69.31,67.79,50.34,45,52,30.99,52.57,5.26
40,San Benandino,CA,63.43,43.88,78.66,,67,23.91,55.37,5.54
41,El Paso,TX,72.49,73.15,34.51,33,49,,52.33,5.23
42,Miami,FL,62.12,58.95,46.22,43,85,18.79,52.26,5.23
43,Las Vegas,NV,86.06,60.8,52.59,48,51,14.65,52.1,5.21
44,Mesa,AZ,67.62,57.19,60.53,,46,28.92,52.05,5.21
45,Dallas,TX,72.77,62.08,42.49,40,68,24.77,51.69,5.17
46,San Antonio,TX,78.98,59.71,37.41,45,66,21.99,51.52,5.15
47,St. Petersburg,FL,75.71,63.14,49.39,,56,12.53,51.36,5.14
48,Albuquerque,NM,79.69,59.27,53.24,50,49,16.88,51.35,5.14
49,Cincinnati,OH,64.65,73.48,46.76,40,68,14.73,51.27,5.13
50,Norfolk,VA,74.98,69.35,49.25,,61,11.14,53.14,5.31
51,Cleveland,OH,60.93,68.25,48.64,38,88,3.09,51.07,5.11
52,Tampa,FL,75.71,63.94,52.7,45,53,12.53,50.48,5.05
53,Lexington,KY,75.72,74.97,35.44,,38,26.5,50.13,5.01
54,Omaha,NE,59.74,64.22,42.34,48,47,38.91,49.95,5.00
55,Charlotte,NC,62.65,68.06,40.17,50,50,28.71,49.93,4.99
56,Durham,NC,70.86,65.54,36.22,53,48,23.66,49.46,4.95
57,Henderson,NV,84.06,62.29,52.59,,35,14.65,49.72,4.97
58,Virginia Beach,VA,77.98,73.42,51.63,50,32,11.14,49.36,4.94
59,St. Louis,MO,61.89,51.64,41.76,33,84,18.26,48.34,4.83
60,Bakersfield,CA,56.55,51.27,69.12,20,44,,48.19,4.82
61,Richmond,VA,76.78,64.99,51.23,30,77,16.99,52.83,5.28
62,Milwaukee,WI,44.73,70.71,38.05,40,77,14.13,47.44,4.74
63,Kansas City,MO,67.47,58.74,45.29,48,48,16.53,47.26,4.73
64,Nashville,TN,67.95,58.2,34.68,45,37,31.05,45.65,4.57
65,Houston,TX,60.93,56.29,44.04,30,59,21.38,45.27,4.53
66,Jacksonville,FL,68.28,65.94,54,38,38,5.69,44.9,4.49
67,Greensboro,NC,66.83,66,34.74,40,37,24.19,44.79,4.48
68,New Orleans,LA,68.28,51.34,30.72,25,74,17.94,44.55,4.46
69,Fort Worth,TX,72.77,57.74,35.2,,32,24.77,44.5,4.45
70,Colorado Springs,CO,69.47,64.62,66.36,40,3,23.23,44.45,4.45
71,Louisville,KY,72.59,68.6,33.37,30,29,28.15,43.62,4.36
72,Toledo,OH,67.24,75.36,41.27,25,39,10.83,43.12,4.31
73,Fresno,CA,60.43,46.48,68.22,33,5,,42.53,4.25
74,Winston-Salem,NC,57.85,75.65,35.6,18,34,25.91,41.08,4.11
75,Philadelphia,PA,66.5,78.8,33.28,50,9,15.95,42.25,4.23
76,Corpus Christi,TX,59.77,56.68,36.19,,46,11.96,42.12,4.21
77,Indianapolis,IN,63.24,68.94,29.6,28,49,6.85,40.86,4.09
78,Orlando,FL,79.38,63.52,54.62,38,6,0,40.17,4.02
79,Fort Wayne,IN,47.92,63.07,33.64,,28,14.47,37.42,3.74
80,Wichita,KS,55.82,54.16,36.56,25,28,36.52,39.34,3.93
81,Arlington,TX,60.44,62.45,43.61,,1,24.77,38.46,3.85
82,Tulsa,OK,63.51,57.68,26.13,25,36,20.35,38.11,3.81
83,Memphis,TN,54.6,55.71,30.87,15,41,28.46,37.61,3.76
84,Oklahoma City,OK,60.06,55.96,34.77,25,26,18.65,36.74,3.67
85,Baton Rouge,LA,53.4,44.63,37.73,,45,,,0.00